
name, type, city, state, category, year 

Jessica B Harris,	Lifetime Achievement,	Brooklyn,	New York,	NA	,2020
Heliotrope Architects/ Rupee,	Outstanding Restaurant Design (75 Seats and Under),	Seattle,	Washington,	Restaurant & Chef,	2020
Klein Agency / auburn,	Outstanding Restaurant Design (76 Seats and Over),	Los Angeles,	California,	Restaurant & Chef,	2020
Lassis Inn,	America's Classics	,Little Rock	,Arkansas	,Restaurant & Chef,	2020
Zehnder's of Frankenmuth,	America's Classics	,Frankenmuth,	Michigan	,Restaurant & Chef,	2020
Vera's Backyard Bar-B-Que,	America's Classics	,Brownsville,	Texas,	Restaurant & Chef,	2020
Oriental Mart,	America's Classics	,Seattle	,Washington	Restaurant & Chef	,2020
Klein Agency / auburn,	Outstanding Restaurant Design (76 Seats and Over),	Los Angeles,	California,	Restaurant & Chef,	2020
Patrick O'Connell,	Lifetime Achievement,	NA,	Washington,	NA,	2019
Zahav,	Outstanding Restaurant,	Philadelphia	,Pennsylvania	,Restaurant & Chef,	2019
Brady Williams/ Canlis, Best Chef: Northwest, Seattle, Washington, Restaurant & Chef,2019
Jim's Steak & Spaghetti House, America's Classics, Huntington, West Virginia, Restaurant & Chef, 2019
Annie's Paramount Steakhouse,America's Classics,Washington, District of Columbia, Restaurant & Chef, 2019
Canlis,Design Icon,Seattle, Washington,Restaurant & Chef,2019
Studio Writers/ Atomix,Outstanding Restaurant Design (75 Seats and Under),New York, New York,Restaurant & Chef,2019
Pho 79,America's Classics,Garden Grove, California, Restaurant & Chef,2019
Tony Messina/ Uni,Best Chef: Northeast, Boston, Massachusetts,Restaurant & Chef,2019
Jody Williams/ Via Carota,Best Chef: New York City,New York, New York,Restaurant & Chef,2019
Rob Tod/ Allagash Brewing Company, Outstanding Wine Spirits or Beer Producer, Portland, Maine,Restaurant & Chef,2019
Greg Wade/ Publican Quality Bread,Outstanding Baker,Chicago, Illinois,Restaurant & Chef,2019
Benu,Outstanding Wine Program,San Francisco, California,Restaurant & Chef,2019
Schwartz and Architecture (S^A)/ El Pípila,Other Eating and Drinking Places,San Francisco, California,Restaurant & Chef,2019
The Giving Kitchen,Humanitarian of the Year,,,,2019
Ashley Christensen/ Poole's Diner,Outstanding Chef,Raleigh, North Carolina,Restaurant & Chef,2019
Vishwesh Bhatt/ Snackbar,Best Chef: South,Oxford, Mississippi,Restaurant & Chef,2019
Frenchette,Best New Restaurant,New York, New York,Restaurant & Chef,2019
Charleen Badman/ FnB Restaurant,Best Chef: Southwest,Scottsdale, Arizona, Restaurant & Chef,2019
Tom Cunanan/ Bad Saint,Best Chef: Mid-Atlantic,Washington, District of Columbia,Restaurant & Chef,2019
